Grupo,Capa,Profundidad,N_registros,N_con_abundancia,Abundancia_total,Abundancia_media,Abundancia_max,Abundancia_mediana,Satelital_media_mgm3,Variable_satelital
Dinoflagelados,Superficial,1-26 m,20397,1211,30659,25.317093311312963,12477,2.0,0.041216570597693875,DINO_mean
Dinoflagelados,Intermedia,35-140 m,12552,620,9740,15.709677419354838,3753,2.0,0.041216570597693875,DINO_mean
Dinoflagelados,Profunda,220-1000 m,9414,296,7943,26.83445945945946,1703,2.0,0.041216570597693875,DINO_mean
Diatomeas,Superficial,1-26 m,0,0,0,0.0,0,0.0,0.10609691743566482,DIATO_mean
Diatomeas,Intermedia,35-140 m,0,0,0,0.0,0,0.0,0.10609691743566482,DIATO_mean
Diatomeas,Profunda,220-1000 m,0,0,0,0.0,0,0.0,0.10609691743566482,DIATO_mean
Clorofitas,Superficial,1-26 m,39,5,6,1.2,2,1.0,0.24873665543618026,GREEN_mean
Clorofitas,Intermedia,35-140 m,24,0,0,0.0,0,0.0,0.24873665543618026,GREEN_mean
Clorofitas,Profunda,220-1000 m,18,0,0,0.0,0,0.0,0.24873665543618026,GREEN_mean
Haptofitas,Superficial,1-26 m,468,49,173,3.5306122448979593,60,1.0,0.11499620231765288,HAPTO_mean
Haptofitas,Intermedia,35-140 m,288,7,10,1.4285714285714286,2,1.0,0.11499620231765288,HAPTO_mean
Haptofitas,Profunda,220-1000 m,216,4,30,7.5,19,5.0,0.11499620231765288,HAPTO_mean
Cianobacterias,Superficial,1-26 m,39,1,5,5.0,5,5.0,0.053222127507130304,PROKAR_mean
Cianobacterias,Intermedia,35-140 m,24,0,0,0.0,0,0.0,0.053222127507130304,PROKAR_mean
Cianobacterias,Profunda,220-1000 m,18,0,0,0.0,0,0.0,0.053222127507130304,PROKAR_mean
Otros Eucariotas,Superficial,1-26 m,16419,1343,7084,5.27475800446761,670,2.0,1.0755155370632807,CHL_mean
Otros Eucariotas,Intermedia,35-140 m,10104,911,4594,5.042810098792535,147,2.0,1.0755155370632807,CHL_mean
Otros Eucariotas,Profunda,220-1000 m,7578,709,12649,17.84062059238364,1363,2.0,1.0755155370632807,CHL_mean
Protozoa,Superficial,1-26 m,3042,100,301,3.01,41,1.0,1.0755155370632807,CHL_mean
Protozoa,Intermedia,35-140 m,1872,101,450,4.455445544554456,46,2.0,1.0755155370632807,CHL_mean
Protozoa,Profunda,220-1000 m,1404,149,1667,11.187919463087248,147,3.0,1.0755155370632807,CHL_mean
